[2026-03-21T15:51:45.952+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-21T15:52:36.958+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: isr_pipeline.parse_competition manual__2026-03-21T14:33:32.851998+00:00 map_index=6 [None]>
[2026-03-21T15:52:37.443+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: isr_pipeline.parse_competition manual__2026-03-21T14:33:32.851998+00:00 map_index=6 [None]>
[2026-03-21T15:52:37.466+0000] {taskinstance.py:2303} INFO - Starting attempt 2 of 4
[2026-03-21T15:52:37.683+0000] {taskinstance.py:2327} INFO - Executing <Mapped(_PythonDecoratedOperator): parse_competition> on 2026-03-21 14:33:32.851998+00:00
[2026-03-21T15:52:38.828+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=2826) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-03-21T15:52:38.920+0000] {standard_task_runner.py:63} INFO - Started process 2850 to run task
[2026-03-21T15:52:38.918+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'isr_pipeline', 'parse_competition', 'manual__2026-03-21T14:33:32.851998+00:00', '--job-id', '89', '--raw', '--subdir', 'DAGS_FOLDER/isr_pipeline.py', '--cfg-path', '/tmp/tmpb2deka66', '--map-index', '6']
[2026-03-21T15:52:38.977+0000] {standard_task_runner.py:91} INFO - Job 89: Subtask parse_competition
[2026-03-21T15:52:40.442+0000] {task_command.py:426} INFO - Running <TaskInstance: isr_pipeline.parse_competition manual__2026-03-21T14:33:32.851998+00:00 map_index=6 [running]> on host 2f5621df97c4
[2026-03-21T15:52:41.360+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='isr_pipeline' AIRFLOW_CTX_TASK_ID='parse_competition' AIRFLOW_CTX_EXECUTION_DATE='2026-03-21T14:33:32.851998+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-21T14:33:32.851998+00:00'
[2026-03-21T15:52:41.364+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-03-21T15:52:42.476+0000] {isr_pipeline.py:107} INFO - parse_competition: starting Maccabiah Masters (isr=247)
[2026-03-21T15:52:44.469+0000] {parser.py:95} INFO -   Loading session: https://loglig.com:2053/LeagueTable/AthleticsDisciplines/7009
[2026-03-21T15:52:52.855+0000] {parser.py:146} INFO -     Race 1: 200m UNKNOWN ?  — 50 results, 0 with splits
[2026-03-21T15:52:57.780+0000] {parser.py:146} INFO -     Race 2: 200m UNKNOWN ?  — 77 results, 0 with splits
[2026-03-21T15:53:00.575+0000] {parser.py:146} INFO -     Race 3: 100m UNKNOWN ?  — 35 results, 0 with splits
[2026-03-21T15:53:04.773+0000] {parser.py:146} INFO -     Race 4: 100m UNKNOWN ?  — 58 results, 0 with splits
[2026-03-21T15:53:08.254+0000] {parser.py:146} INFO -     Race 5: 50m UNKNOWN ?  — 37 results, 0 with splits
[2026-03-21T15:53:11.926+0000] {parser.py:146} INFO -     Race 6: 50m UNKNOWN ?  — 60 results, 0 with splits
[2026-03-21T15:53:15.004+0000] {parser.py:146} INFO -     Race 7: 200m UNKNOWN ?  — 29 results, 0 with splits
[2026-03-21T15:53:18.444+0000] {parser.py:146} INFO -     Race 8: 200m UNKNOWN ?  — 48 results, 0 with splits
[2026-03-21T15:53:23.327+0000] {parser.py:146} INFO -     Race 9: 50m UNKNOWN ?  — 65 results, 0 with splits
[2026-03-21T15:53:27.991+0000] {parser.py:146} INFO -     Race 10: 50m UNKNOWN ?  — 94 results, 0 with splits
[2026-03-21T15:53:30.767+0000] {parser.py:146} INFO -     Race 11: 100m UNKNOWN ?  — 22 results, 0 with splits
[2026-03-21T15:53:33.597+0000] {parser.py:146} INFO -     Race 12: 100m UNKNOWN ?  — 37 results, 0 with splits
[2026-03-21T15:53:36.762+0000] {parser.py:146} INFO -     Race 13: 200m UNKNOWN ?  — 34 results, 0 with splits
[2026-03-21T15:53:40.109+0000] {parser.py:146} INFO -     Race 14: 200m UNKNOWN ?  — 41 results, 0 with splits
[2026-03-21T15:53:42.943+0000] {parser.py:146} INFO -     Race 15: 50m UNKNOWN ?  — 9 results, 0 with splits
[2026-03-21T15:53:47.226+0000] {parser.py:146} INFO -     Race 16: 50m UNKNOWN ?  — 13 results, 0 with splits
[2026-03-21T15:53:51.747+0000] {parser.py:146} INFO -     Race 17: 50m UNKNOWN ?  — 12 results, 0 with splits
[2026-03-21T15:53:55.449+0000] {parser.py:146} INFO -     Race 19: 50m UNKNOWN ?  — 47 results, 0 with splits
[2026-03-21T15:53:59.368+0000] {parser.py:146} INFO -     Race 20: 50m UNKNOWN ?  — 66 results, 0 with splits
[2026-03-21T15:54:02.100+0000] {parser.py:146} INFO -     Race 21: 200m UNKNOWN ?  — 30 results, 0 with splits
[2026-03-21T15:54:05.610+0000] {parser.py:146} INFO -     Race 22: 200m UNKNOWN ?  — 45 results, 0 with splits
[2026-03-21T15:54:09.597+0000] {parser.py:146} INFO -     Race 23: 100m UNKNOWN ?  — 60 results, 0 with splits
[2026-03-21T15:54:13.827+0000] {parser.py:146} INFO -     Race 24: 100m UNKNOWN ?  — 85 results, 0 with splits
[2026-03-21T15:54:17.488+0000] {parser.py:146} INFO -     Race 25: 50m UNKNOWN ?  — 13 results, 0 with splits
[2026-03-21T15:54:20.314+0000] {parser.py:146} INFO -     Race 27: 50m UNKNOWN ?  — 9 results, 0 with splits
[2026-03-21T15:54:24.555+0000] {parser.py:146} INFO -     Race 28: 50m UNKNOWN ?  — 13 results, 0 with splits
[2026-03-21T15:54:28.385+0000] {parser.py:146} INFO -     Race 29: 100m UNKNOWN ?  — 39 results, 0 with splits
